hs_code,description,original_duty,additional_duty,total_duty,round
8414.59.10,工业风扇及其零件-1,2.5,25.0,27.5,第一轮
8414.59.11,工业风扇及其零件-2,2.5,25.0,27.5,第一轮
8414.59.12,工业风扇及其零件-3,2.5,25.0,27.5,第一轮
8414.59.13,工业风扇及其零件-4,2.5,25.0,27.5,第一轮
8414.59.14,工业风扇及其零件-5,2.5,25.0,27.5,第一轮
8414.59.15,工业风扇及其零件-6,2.5,25.0,27.5,第一轮
8414.59.16,工业风扇及其零件-7,2.5,25.0,27.5,第一轮
8414.59.17,工业风扇及其零件-8,2.5,25.0,27.5,第一轮
8414.59.18,工业风扇及其零件-9,2.5,25.0,27.5,第一轮
8414.59.19,工业风扇及其零件-10,2.5,25.0,27.5,第一轮
8414.59.20,工业风扇及其零件-11,2.5,25.0,27.5,第一轮
8414.59.21,工业风扇及其零件-12,2.5,25.0,27.5,第一轮
8414.59.22,工业风扇及其零件-13,2.5,25.0,27.5,第一轮
8414.59.23,工业风扇及其零件-14,2.5,25.0,27.5,第一轮
8414.59.24,工业风扇及其零件-15,2.5,25.0,27.5,第一轮
8414.59.25,工业风扇及其零件-16,2.5,25.0,27.5,第一轮
8414.59.26,工业风扇及其零件-17,2.5,25.0,27.5,第一轮
8414.59.27,工业风扇及其零件-18,2.5,25.0,27.5,第一轮
8414.59.28,工业风扇及其零件-19,2.5,25.0,27.5,第一轮
8414.59.29,工业风扇及其零件-20,2.5,25.0,27.5,第一轮
